Item Title,Authors,Publication Year,Publication Title,Content Type,Item DOI,URL,Journal Volume,Journal Issue,Book Series Title
Managing Urban Resilience,Bernhard KleinReinhard KoenigGerhard Schmitt,2017,Informatik-Spektrum,Article,10.1007/s00287-016-1005-2,http://link.springer.com/article/10.1007/s00287-016-1005-2,40,1,
Sustainability benchmarking tool (SBT): theoretical and conceptual model proposition of a composite framework,Cagatay TasdemirRado GazoHenry J. Quesada,2019,"Environment, Development and Sustainability",Article,10.1007/s10668-019-00512-3,http://link.springer.com/article/10.1007/s10668-019-00512-3,,,
"Internal flow structure, fault detection, and performance optimization of centrifugal pumps",Zhe-ming TongJia-ge XinShui-guang TongZhong-qin YangJian-yun ZhaoJun-hua Mao,2020,Journal of Zhejiang University-SCIENCE A,Article,10.1631/jzus.A1900608,http://link.springer.com/article/10.1631/jzus.A1900608,21,2,
Towards Collective Awareness Systems,Luis M. Camarinha-MatosJoÃ£o GoesLuis GomesJoÃ£o Martins,2014,Technological Innovation for Collective Awareness Systems,Chapter,10.1007/978-3-642-54734-8_1,http://link.springer.com/chapter/10.1007/978-3-642-54734-8_1,,,
Chemical Sensors and Measurement,Prof. Ping WangDr. Qingjun Liu,2011,Biomedical Sensors and Measurement,Chapter,10.1007/978-3-642-19525-9_4,http://link.springer.com/chapter/10.1007/978-3-642-19525-9_4,,,
Analysis of drought risk management strategies using dynamic inoperability inputâ€“output modeling and event tree analysis,Joost R. SantosSheree T. PagsuyoinLucia C. HerreraRaymond R. TanKrista D. Yu,2014,Environment Systems and Decisions,Article,10.1007/s10669-014-9514-5,http://link.springer.com/article/10.1007/s10669-014-9514-5,34,4,
Services and simulation frameworks for vehicular cloud computing: a contemporary survey,Bilal AhmedAsad Waqar MalikTaimur HafeezNadeem Ahmed,2019,EURASIP Journal on Wireless Communications and Networking,Article,10.1186/s13638-018-1315-y,http://link.springer.com/article/10.1186/s13638-018-1315-y,2019,1,
Toward decentralized intelligence in manufacturing: recent trends in automatic identification of things,Mika LiukkonenTsung-Nan Tsai,2016,The International Journal of Advanced Manufacturing Technology,Article,10.1007/s00170-016-8628-y,http://link.springer.com/article/10.1007/s00170-016-8628-y,87,12-Sep,
Potential annual daylighting performance of a high-efficiency daylight redirecting slat system,LuÃ­s L. FernandesEleanor S. LeeAnothai ThanachareonkitStephen E. Selkowitz,2020,Building Simulation,Article,10.1007/s12273-020-0674-6,http://link.springer.com/article/10.1007/s12273-020-0674-6,,,
Environment Modelling for Spatial Load Forecasting,Ander PijoanOihane Kamara-EstebanCruz E. Borges,2015,Agent Environments for Multi-Agent Systems IV,Chapter,10.1007/978-3-319-23850-0_12,http://link.springer.com/chapter/10.1007/978-3-319-23850-0_12,,,
Inducing Behavioural Change in Society Through Communication and Education in Sustainable Manufacturing,Ina RoederWei Min WangBernd Muschard,2017,Sustainable Manufacturing,Chapter,10.1007/978-3-319-48514-0_16,http://link.springer.com/chapter/10.1007/978-3-319-48514-0_16,,,
Specialized CSIRT for Incident Response Management in Smart Grids,Rafael de Jesus MartinsLuis Augusto Dias KnobEduardo Germano da SilvaJuliano Araujo WickboldtAlberto Schaeffer-FilhoLisandro Zambenedetti Granville,2019,Journal of Network and Systems Management,Article,10.1007/s10922-018-9458-z,http://link.springer.com/article/10.1007/s10922-018-9458-z,27,1,
PRISM-games: verification and strategy synthesis for stochastic multi-player games with multiple objectives,Marta KwiatkowskaDavid ParkerClemens Wiltsche,2018,International Journal on Software Tools for Technology Transfer,Article,10.1007/s10009-017-0476-z,http://link.springer.com/article/10.1007/s10009-017-0476-z,20,2,
Virtual reality laboratories: a review of experiences,Marcela HernÃ¡ndez-de-MenÃ©ndezAntonio Vallejo GuevaraRuben Morales-Menendez,2019,International Journal on Interactive Design and Manufacturing (IJIDeM),Article,10.1007/s12008-019-00558-7,http://link.springer.com/article/10.1007/s12008-019-00558-7,13,3,
Modeling Combustion Chemistry in Large Eddy Simulation of Turbulent Flames,BenoÃ®t FiorinaDenis VeynanteSÃ©bastien Candel,2015,"Flow, Turbulence and Combustion",Article,10.1007/s10494-014-9579-8,http://link.springer.com/article/10.1007/s10494-014-9579-8,94,1,
Bayesian maximum entropy approach and its applications: a review,Junyu HeAlexander Kolovos,2018,Stochastic Environmental Research and Risk Assessment,Article,10.1007/s00477-017-1419-7,http://link.springer.com/article/10.1007/s00477-017-1419-7,32,4,
A novel medical internet of things perception system based on visual image encryption and intrusion detection,Aiying GuoMeihua XuFeng RanHaiyong Wang,2019,Cluster Computing,Article,10.1007/s10586-018-1944-2,http://link.springer.com/article/10.1007/s10586-018-1944-2,22,6,
T1: Plant Genetic Resources,,2017,Cereal Research Communications,Article,10.1556/0806.45.2017.100,http://link.springer.com/article/10.1556/0806.45.2017.100,45,1,
Ticket-based QoS routing optimization using genetic algorithm for WSN applications in smart grid,Uthman BaroudiManaf Bin-YahyaMeshaan AlshammariUmair Yaqoub,2019,Journal of Ambient Intelligence and Humanized Computing,Article,10.1007/s12652-018-0906-0,http://link.springer.com/article/10.1007/s12652-018-0906-0,10,4,
Ergonomics of the Urban Villaâ€™s Form as an Element of Sustainable Architectural and Urban Design,PaweÅ‚ Horn,2015,Universal Access in Human-Computer Interaction. Access to the Human Environment and Culture,Chapter,10.1007/978-3-319-20687-5_27,http://link.springer.com/chapter/10.1007/978-3-319-20687-5_27,,,
Cognitive ocean of things: a comprehensive review and future trends,Yujie LiShinya TakahashiSeiichi Serikawa,2019,Wireless Networks,Article,10.1007/s11276-019-01953-4,http://link.springer.com/article/10.1007/s11276-019-01953-4,,,
Vulnerability Assessment for PMU Communication Networks,Xiangyu NiuYue TongJinyuan Sun,2018,Smart Computing and Communication,Chapter,10.1007/978-3-030-05755-8_4,http://link.springer.com/chapter/10.1007/978-3-030-05755-8_4,,,
Thin-film organic semiconductor devices: from flexibility to ultraflexibility,Yan Qian é’±å¦Xinwen Zhang å¼ æ–°ç¨³Dianpeng Qi é½æ®¿é¹Linghai Xie è§£ä»¤æµ·Bevita K. ChandranXiaodong Chen é™ˆæ™“ä¸œWei Huang é»„ç»´,2016,Science China Materials,Article,10.1007/s40843-016-5091-1,http://link.springer.com/article/10.1007/s40843-016-5091-1,59,7,
Review: Hydraulics of water wellsâ€”head losses of individual components,Georg J. Houben,2015,Hydrogeology Journal,Article,10.1007/s10040-015-1313-7,http://link.springer.com/article/10.1007/s10040-015-1313-7,23,8,
Aquatic environmental assessment of Lake Balaton in the light of physical-chemical water parameters,Vitkor SebestyÃ©nJÃ³zsef NÃ©methTatjana JuzsakovaEndre DomokosZsÃ³fia KovÃ¡csÃkos RÃ©dey,2017,Environmental Science and Pollution Research,Article,10.1007/s11356-017-0163-3,http://link.springer.com/article/10.1007/s11356-017-0163-3,24,32,
An analysis of vehicle-to-infrastructure communications for non-signalised intersection control under mixed driving behaviour,Gokhan BudanKhaled HayatlehDenise MorreyPeter BallPhilip Shadbolt,2018,Analog Integrated Circuits and Signal Processing,Article,10.1007/s10470-018-1152-2,http://link.springer.com/article/10.1007/s10470-018-1152-2,95,3,
