Item Title,Authors,Publication Year,Publication Title,Content Type,Item DOI,URL,Journal Volume,Journal Issue,Book Series Title
Proposed Architecture for Energy Efficiency and Comfort Optimization in Smart Homes,P. U. B. AlbuquerqueD. K. de A. OhiN. S. PereiraB. de A. PrataG. C. Barroso,2018,"Journal of Control, Automation and Electrical Systems",Article,10.1007/s40313-018-0410-y,http://link.springer.com/article/10.1007/s40313-018-0410-y,29,6,
Analysis of the pattern of energy consumptions and its impact on urban environmental sustainability in Jordan: Amman City as a case study,Rami Nabil Dar-MousaZeyad Makhamreh,2019,"Energy, Sustainability and Society",Article,10.1186/s13705-019-0197-0,http://link.springer.com/article/10.1186/s13705-019-0197-0,9,1,
E-Mobility Systems Architecture: a model-based framework for managing complexity and interoperability,Benedikt KirpesPhilipp DannerRobert BasmadjianHermann de MeerChristian Becker,2019,Energy Informatics,Article,10.1186/s42162-019-0072-4,http://link.springer.com/article/10.1186/s42162-019-0072-4,2,1,
A survey on communication technologies and requirements for internet of electric vehicles,Islam Safak BayramIoannis Papapanagiotou,2014,EURASIP Journal on Wireless Communications and Networking,Article,10.1186/1687-1499-2014-223,http://link.springer.com/article/10.1186/1687-1499-2014-223,2014,1,
(So) Big Data and the transformation of the city,Gennady AndrienkoNatalia AndrienkoChiara BoldriniGuido CaldarelliPaolo CintiaStefano CresciAngelo FacchiniFosca GiannottiAristides GionisRiccardo GuidottiMichael MathioudakisCristina Ioana MunteanLuca PappalardoDino PedreschiEvangelos PournarasFrancesca Pratesi,2020,International Journal of Data Science and Analytics,Article,10.1007/s41060-020-00207-3,http://link.springer.com/article/10.1007/s41060-020-00207-3,,,
SSG: An Ontology-Based Information Model for Smart Grids,Khouloud SalamehRichard ChbeirHaritza Camblong,2019,Transactions on Large-Scale Data- and Knowledge-Centered Systems XL,Chapter,10.1007/978-3-662-58664-8_4,http://link.springer.com/chapter/10.1007/978-3-662-58664-8_4,,,
"Investigating the nexus of climate, energy, water, and land at decision-relevant scales: the Platform for Regional Integrated Modeling and Analysis (PRIMA)",Ian KraucunasLeon ClarkeJames DirksJohn HathawayMohamad HejaziKathy HibbardMaoyi HuangChunlian JinMichael Kintner-MeyerKerstin Kleese van DamRuby LeungHong-Yi LiRichard MossMarty PetersonJennie RiceMichael Scott,2015,Climatic Change,Article,10.1007/s10584-014-1064-9,http://link.springer.com/article/10.1007/s10584-014-1064-9,129,4-Mar,
Energy aware building automation enables Smart Grid-friendly buildings,Gerhard ZuckerPeter PalenskyFlorian JudexChristian HettfleischRalf-Roman SchmidtDaniele Basciotti,2012,e & i Elektrotechnik und Informationstechnik,Article,10.1007/s00502-012-0012-5,http://link.springer.com/article/10.1007/s00502-012-0012-5,129,4,
"Achieving sustainability through smart city applications: protocols, systems and solutions using IoT and wireless sensor network",Maneesha Vinodini RameshRekha PrabhaHemalatha ThirugnanamAryadevi Remanidevi DevidasDhanesh RajSruthy AnandRahul Krishnan Pathinarupothi,2020,CSI Transactions on ICT,Article,10.1007/s40012-020-00285-5,http://link.springer.com/article/10.1007/s40012-020-00285-5,8,2,
Digital Economy as a Factor in the Technological Development of the Mineral Sector,V. S. Litvinenko,2020,Natural Resources Research,Article,10.1007/s11053-019-09568-4,http://link.springer.com/article/10.1007/s11053-019-09568-4,29,3,
